TEXT,LATITUDE,LONGITUDE,ALTITUDE,TYPE
1964,52.3730796,4.8924534,3287,year
1965,52.3730796,4.8924534,3653,year
1966,52.3730796,4.8924534,4018,year
1967,52.3730796,4.8924534,4383,year
1968,52.3730796,4.8924534,4748,year
1969,52.3730796,4.8924534,5114,year
1970,52.3730796,4.8924534,5479,year
1971,52.3730796,4.8924534,5844,year
1972,52.3730796,4.8924534,6209,year
1973,52.3730796,4.8924534,6575,year
1974,52.3730796,4.8924534,6940,year
1975,52.3730796,4.8924534,7305,year
1976,52.3730796,4.8924534,7670,year
1955,55.6867243,12.5700724,0,year
1956,55.6867243,12.5700724,365,year
1957,55.6867243,12.5700724,731,year
1958,55.6867243,12.5700724,1096,year
1959,55.6867243,12.5700724,1461,year
1960,55.6867243,12.5700724,1826,year
1961,55.6867243,12.5700724,2192,year
1962,55.6867243,12.5700724,2557,year
1963,55.6867243,12.5700724,2922,year
1964,55.6867243,12.5700724,3287,year
1965,55.6867243,12.5700724,3653,year
1966,55.6867243,12.5700724,4018,year
1967,55.6867243,12.5700724,4383,year
1968,55.6867243,12.5700724,4748,year
1969,55.6867243,12.5700724,5114,year
1970,55.6867243,12.5700724,5479,year
1971,55.6867243,12.5700724,5844,year
1972,55.6867243,12.5700724,6209,year
1973,55.6867243,12.5700724,6575,year
1974,55.6867243,12.5700724,6940,year
1975,55.6867243,12.5700724,7305,year
1976,55.6867243,12.5700724,7670,year
1977,55.6867243,12.5700724,8036,year
1955,52.0809856,5.127683969,0,year
1956,52.0809856,5.127683969,365,year
1957,52.0809856,5.127683969,731,year
1958,52.0809856,5.127683969,1096,year
1959,52.0809856,5.127683969,1461,year
1960,52.0809856,5.127683969,1826,year
1961,52.0809856,5.127683969,2192,year
1962,52.0809856,5.127683969,2557,year
1963,52.0809856,5.127683969,2922,year
1964,52.0809856,5.127683969,3287,year
1965,52.0809856,5.127683969,3653,year
1966,52.0809856,5.127683969,4018,year
1967,52.0809856,5.127683969,4383,year
1968,52.0809856,5.127683969,4748,year
1969,52.0809856,5.127683969,5114,year
1970,52.0809856,5.127683969,5479,year
1971,52.0809856,5.127683969,5844,year
1972,52.0809856,5.127683969,6209,year
1973,52.0809856,5.127683969,6575,year
1974,52.0809856,5.127683969,6940,year
1975,52.0809856,5.127683969,7305,year
1976,52.0809856,5.127683969,7670,year
1977,52.0809856,5.127683969,8036,year
